learner_id,learner_label,occupational_domain,study_week,week_start,learner_messages,instructor_messages,total_messages,avg_learner_word_count,english_messages,english_proportion,disruption_count,disruption_flag,apology_uncertainty_count,apology_uncertainty_rate,correction_count,gt_correction_count,correction_density
L002,Adult learner 02,Technology / engineering,50,2025-01-31,1,3,4,3,1,1.0,0,0,0,0.0,0,0,0.0
L002,Adult learner 02,Technology / engineering,51,2025-02-07,6,7,13,3.5,0,0.0,0,0,1,0.1667,0,0,0.0
L002,Adult learner 02,Technology / engineering,52,2025-02-14,1,1,2,8,0,0.0,0,0,1,1.0,0,0,0.0
L002,Adult learner 02,Technology / engineering,53,2025-02-21,11,12,23,5.36,2,0.1818,0,0,0,0.0,0,0,0.0
L002,Adult learner 02,Technology / engineering,54,2025-02-28,3,2,5,3.33,0,0.0,0,0,1,0.3333,0,0,0.0
L002,Adult learner 02,Technology / engineering,55,2025-03-07,6,8,14,5,2,0.3333,0,0,0,0.0,0,0,0.0
L002,Adult learner 02,Technology / engineering,56,2025-03-14,17,19,36,4.69,2,0.1176,2,1,1,0.0588,0,0,0.0
L002,Adult learner 02,Technology / engineering,57,2025-03-24,3,2,5,2.33,0,0.0,0,0,0,0.0,0,0,0.0
L002,Adult learner 02,Technology / engineering,58,2025-03-28,13,12,25,3.92,1,0.0769,1,1,1,0.0769,1,0,0.0833
L002,Adult learner 02,Technology / engineering,59,2025-04-04,9,10,19,3.56,0,0.0,0,0,1,0.1111,0,0,0.0
L002,Adult learner 02,Technology / engineering,61,2025-04-18,4,7,11,3.75,1,0.25,1,1,1,0.25,0,0,0.0
L002,Adult learner 02,Technology / engineering,62,2025-04-27,13,12,25,3.42,2,0.1538,0,0,0,0.0,0,0,0.0
L002,Adult learner 02,Technology / engineering,64,2025-05-11,1,5,6,4,1,1.0,0,0,0,0.0,1,0,0.2
L002,Adult learner 02,Technology / engineering,65,2025-05-18,0,2,2,,0,,0,0,0,,0,0,0.0
L002,Adult learner 02,Technology / engineering,66,2025-05-24,3,2,5,3.67,0,0.0,0,0,1,0.3333,0,0,0.0
L002,Adult learner 02,Technology / engineering,67,2025-06-01,1,3,4,6,1,1.0,0,0,0,0.0,1,0,0.3333
L002,Adult learner 02,Technology / engineering,68,2025-06-07,5,4,9,3,2,0.4,1,1,0,0.0,0,0,0.0
L002,Adult learner 02,Technology / engineering,69,2025-06-15,1,3,4,5,1,1.0,0,0,0,0.0,0,0,0.0
L002,Adult learner 02,Technology / engineering,70,2025-06-22,1,3,4,6,1,1.0,0,0,0,0.0,0,0,0.0
L002,Adult learner 02,Technology / engineering,71,2025-06-29,1,3,4,2,1,1.0,0,0,0,0.0,0,0,0.0
L002,Adult learner 02,Technology / engineering,72,2025-07-05,6,3,9,3.33,0,0.0,0,0,3,0.5,0,0,0.0
L002,Adult learner 02,Technology / engineering,73,2025-07-11,3,7,10,3,1,0.3333,0,0,0,0.0,1,0,0.1429
L002,Adult learner 02,Technology / engineering,74,2025-07-20,1,3,4,9,1,1.0,0,0,0,0.0,1,0,0.3333
L002,Adult learner 02,Technology / engineering,75,2025-07-25,1,1,2,8,0,0.0,0,0,0,0.0,0,0,0.0
L002,Adult learner 02,Technology / engineering,76,2025-08-03,1,3,4,8,1,1.0,0,0,0,0.0,0,0,0.0
L002,Adult learner 02,Technology / engineering,77,2025-08-10,4,6,10,3.33,3,0.75,0,0,1,0.25,0,0,0.0
L002,Adult learner 02,Technology / engineering,80,2025-08-31,1,3,4,12,1,1.0,0,0,0,0.0,0,0,0.0
L002,Adult learner 02,Technology / engineering,81,2025-09-07,1,4,5,5,1,1.0,0,0,0,0.0,0,0,0.0
L002,Adult learner 02,Technology / engineering,82,2025-09-14,3,4,7,3.67,2,0.6667,0,0,0,0.0,0,0,0.0
L002,Adult learner 02,Technology / engineering,83,2025-09-21,5,6,11,4.4,2,0.4,1,1,1,0.2,0,0,0.0
L002,Adult learner 02,Technology / engineering,85,2025-10-04,16,19,35,5.56,2,0.125,1,1,0,0.0,1,0,0.0526
L002,Adult learner 02,Technology / engineering,87,2025-10-19,19,5,24,2.37,1,0.0526,0,0,0,0.0,1,0,0.2
L002,Adult learner 02,Technology / engineering,88,2025-10-26,1,3,4,13,1,1.0,0,0,0,0.0,1,0,0.3333
L002,Adult learner 02,Technology / engineering,89,2025-11-02,1,3,4,5,1,1.0,0,0,0,0.0,0,0,0.0
L002,Adult learner 02,Technology / engineering,90,2025-11-09,0,2,2,,0,,0,0,0,,0,0,0.0
L002,Adult learner 02,Technology / engineering,91,2025-11-16,1,5,6,7,1,1.0,0,0,0,0.0,0,0,0.0
L002,Adult learner 02,Technology / engineering,92,2025-11-23,2,3,5,4,2,1.0,0,0,0,0.0,1,0,0.3333
L002,Adult learner 02,Technology / engineering,93,2025-11-30,0,1,1,,0,,0,0,0,,0,0,0.0
L002,Adult learner 02,Technology / engineering,94,2025-12-07,1,4,5,4,1,1.0,0,0,0,0.0,0,0,0.0
L002,Adult learner 02,Technology / engineering,95,2025-12-14,1,3,4,9,1,1.0,0,0,0,0.0,0,0,0.0
L002,Adult learner 02,Technology / engineering,96,2025-12-21,1,2,3,9,1,1.0,0,0,0,0.0,0,0,0.0
L002,Adult learner 02,Technology / engineering,97,2025-12-28,8,7,15,3.62,3,0.375,0,0,0,0.0,0,0,0.0
L002,Adult learner 02,Technology / engineering,98,2026-01-04,1,3,4,5,0,0.0,0,0,0,0.0,0,0,0.0
L002,Adult learner 02,Technology / engineering,99,2026-01-11,1,4,5,7,1,1.0,0,0,0,0.0,0,0,0.0
L002,Adult learner 02,Technology / engineering,100,2026-01-17,2,2,4,8,0,0.0,0,0,0,0.0,0,0,0.0
L002,Adult learner 02,Technology / engineering,101,2026-01-23,6,5,11,4.33,0,0.0,1,1,2,0.3333,0,0,0.0
L002,Adult learner 02,Technology / engineering,102,2026-02-01,4,4,8,5.25,0,0.0,1,1,1,0.25,0,0,0.0
L002,Adult learner 02,Technology / engineering,103,2026-02-08,1,2,3,3,1,1.0,0,0,0,0.0,0,0,0.0
L002,Adult learner 02,Technology / engineering,104,2026-02-15,0,2,2,,0,,0,0,0,,0,0,0.0
L002,Adult learner 02,Technology / engineering,105,2026-02-22,1,3,4,5,1,1.0,0,0,0,0.0,0,0,0.0
L002,Adult learner 02,Technology / engineering,106,2026-03-01,1,5,6,3,1,1.0,0,0,0,0.0,0,0,0.0
L002,Adult learner 02,Technology / engineering,107,2026-03-06,4,5,9,6,1,0.25,0,0,1,0.25,0,0,0.0
L002,Adult learner 02,Technology / engineering,108,2026-03-15,0,3,3,,0,,0,0,0,,1,0,0.3333
L002,Adult learner 02,Technology / engineering,109,2026-03-21,11,9,20,4.36,0,0.0,0,0,0,0.0,0,0,0.0
L002,Adult learner 02,Technology / engineering,110,2026-03-29,0,3,3,,0,,0,0,0,,0,0,0.0
L002,Adult learner 02,Technology / engineering,111,2026-04-05,1,3,4,11,1,1.0,0,0,0,0.0,0,0,0.0
L002,Adult learner 02,Technology / engineering,112,2026-04-10,2,1,3,9,1,0.5,0,0,0,0.0,0,0,0.0
L002,Adult learner 02,Technology / engineering,113,2026-04-19,0,3,3,,0,,0,0,0,,0,0,0.0
L002,Adult learner 02,Technology / engineering,114,2026-04-26,0,4,4,,0,,0,0,0,,1,0,0.25
L002,Adult learner 02,Technology / engineering,115,2026-05-02,2,6,8,3,0,0.0,0,0,0,0.0,0,0,0.0
L002,Adult learner 02,Technology / engineering,116,2026-05-08,8,7,15,5.38,0,0.0,2,1,2,0.25,0,0,0.0
L002,Adult learner 02,Technology / engineering,117,2026-05-18,1,1,2,3,0,0.0,0,0,0,0.0,0,0,0.0
L003,Adult learner 03,Consumer goods / corporate communication,1,2024-10-20,6,6,12,7.83,0,0.0,1,1,1,0.1667,0,0,0.0
L003,Adult learner 03,Consumer goods / corporate communication,3,2024-11-07,13,8,21,5,0,0.0,2,1,0,0.0,0,0,0.0
L003,Adult learner 03,Consumer goods / corporate communication,4,2024-11-15,3,6,9,9.33,3,1.0,0,0,0,0.0,0,0,0.0
L003,Adult learner 03,Consumer goods / corporate communication,5,2024-11-18,11,7,18,12.09,11,1.0,0,0,2,0.1818,0,0,0.0
L003,Adult learner 03,Consumer goods / corporate communication,6,2024-11-26,1,5,6,3,1,1.0,0,0,0,0.0,1,0,0.2
L003,Adult learner 03,Consumer goods / corporate communication,7,2024-12-05,18,16,34,7,17,0.9444,0,0,0,0.0,1,0,0.0625
L003,Adult learner 03,Consumer goods / corporate communication,8,2024-12-12,6,7,13,7,6,1.0,0,0,0,0.0,0,0,0.0
L003,Adult learner 03,Consumer goods / corporate communication,9,2024-12-19,20,25,45,9.11,18,0.9,1,1,2,0.1,0,0,0.0
L003,Adult learner 03,Consumer goods / corporate communication,10,2024-12-27,3,9,12,14.33,3,1.0,0,0,0,0.0,1,0,0.1111
L003,Adult learner 03,Consumer goods / corporate communication,11,2025-01-03,4,10,14,9,4,1.0,0,0,0,0.0,0,0,0.0
L003,Adult learner 03,Consumer goods / corporate communication,12,2025-01-10,12,18,30,13.17,12,1.0,2,1,2,0.1667,0,0,0.0
L003,Adult learner 03,Consumer goods / corporate communication,13,2025-01-15,16,25,41,19.38,16,1.0,2,1,4,0.25,1,0,0.04
L003,Adult learner 03,Consumer goods / corporate communication,14,2025-01-19,7,16,23,8.71,7,1.0,0,0,0,0.0,0,0,0.0
L003,Adult learner 03,Consumer goods / corporate communication,15,2025-01-30,8,12,20,15.12,5,0.625,0,0,1,0.125,0,0,0.0
L003,Adult learner 03,Consumer goods / corporate communication,16,2025-02-02,15,22,37,11.13,10,0.6667,2,1,0,0.0,0,0,0.0
L003,Adult learner 03,Consumer goods / corporate communication,17,2025-02-11,11,23,34,9.36,8,0.7273,1,1,0,0.0,1,0,0.0435
L003,Adult learner 03,Consumer goods / corporate communication,19,2025-02-28,4,12,16,16.25,3,0.75,0,0,0,0.0,0,0,0.0
L003,Adult learner 03,Consumer goods / corporate communication,20,2025-03-07,2,9,11,9.5,2,1.0,0,0,0,0.0,0,0,0.0
L003,Adult learner 03,Consumer goods / corporate communication,21,2025-03-14,11,24,35,14.09,11,1.0,0,0,0,0.0,1,0,0.0417
L003,Adult learner 03,Consumer goods / corporate communication,22,2025-03-16,48,72,120,12,45,0.9375,3,1,3,0.0625,1,0,0.0139
L003,Adult learner 03,Consumer goods / corporate communication,23,2025-03-23,38,56,94,11.11,38,1.0,2,1,3,0.0789,1,0,0.0179
L003,Adult learner 03,Consumer goods / corporate communication,24,2025-03-31,31,44,75,11.26,30,0.9677,3,1,2,0.0645,3,0,0.0682
L003,Adult learner 03,Consumer goods / corporate communication,25,2025-04-08,15,24,39,11.6,15,1.0,1,1,4,0.2667,1,0,0.0417
L003,Adult learner 03,Consumer goods / corporate communication,26,2025-04-13,39,50,89,8.97,32,0.8205,4,1,2,0.0513,2,0,0.04
L003,Adult learner 03,Consumer goods / corporate communication,27,2025-04-21,74,71,145,7.16,70,0.9459,3,1,3,0.0405,2,0,0.0282
L003,Adult learner 03,Consumer goods / corporate communication,28,2025-04-28,15,26,41,6.4,14,0.9333,1,1,0,0.0,0,0,0.0
L003,Adult learner 03,Consumer goods / corporate communication,29,2025-05-07,10,23,33,9.6,9,0.9,0,0,0,0.0,2,0,0.087
L003,Adult learner 03,Consumer goods / corporate communication,30,2025-05-13,41,54,95,8.26,38,0.9268,1,1,5,0.122,0,0,0.0
L003,Adult learner 03,Consumer goods / corporate communication,31,2025-05-18,18,29,47,6.24,15,0.8333,1,1,1,0.0556,0,0,0.0
L003,Adult learner 03,Consumer goods / corporate communication,32,2025-05-26,18,33,51,10.5,18,1.0,1,1,1,0.0556,1,0,0.0303
L003,Adult learner 03,Consumer goods / corporate communication,33,2025-06-02,7,11,18,8.43,6,0.8571,0,0,0,0.0,0,0,0.0
L003,Adult learner 03,Consumer goods / corporate communication,34,2025-06-09,32,41,73,6.16,29,0.9062,2,1,4,0.125,2,0,0.0488
L003,Adult learner 03,Consumer goods / corporate communication,35,2025-06-16,24,34,58,7.04,23,0.9583,1,1,1,0.0417,2,0,0.0588
L003,Adult learner 03,Consumer goods / corporate communication,36,2025-06-23,28,32,60,6.57,25,0.8929,1,1,2,0.0714,1,0,0.0312
L003,Adult learner 03,Consumer goods / corporate communication,37,2025-06-30,14,16,30,5.21,12,0.8571,0,0,1,0.0714,0,0,0.0
L003,Adult learner 03,Consumer goods / corporate communication,38,2025-07-07,19,23,42,6.56,16,0.8421,0,0,1,0.0526,2,0,0.087
L003,Adult learner 03,Consumer goods / corporate communication,39,2025-07-14,17,20,37,6.14,14,0.8235,0,0,0,0.0,0,0,0.0
L003,Adult learner 03,Consumer goods / corporate communication,40,2025-07-21,15,21,36,5.23,13,0.8667,0,0,0,0.0,0,0,0.0
L003,Adult learner 03,Consumer goods / corporate communication,41,2025-07-28,19,26,45,7.12,17,0.8947,3,1,3,0.1579,1,0,0.0385
L003,Adult learner 03,Consumer goods / corporate communication,42,2025-08-04,12,13,25,6.64,10,0.8333,3,1,0,0.0,0,0,0.0
L003,Adult learner 03,Consumer goods / corporate communication,43,2025-08-11,17,19,36,5.88,17,1.0,0,0,2,0.1176,0,0,0.0
L003,Adult learner 03,Consumer goods / corporate communication,44,2025-08-18,19,23,42,4.42,16,0.8421,0,0,3,0.1579,0,0,0.0
L003,Adult learner 03,Consumer goods / corporate communication,45,2025-08-25,13,17,30,5.64,11,0.8462,0,0,0,0.0,2,0,0.1176
L003,Adult learner 03,Consumer goods / corporate communication,46,2025-09-01,28,33,61,4.57,24,0.8571,1,1,1,0.0357,2,0,0.0606
L003,Adult learner 03,Consumer goods / corporate communication,47,2025-09-08,12,18,30,6.17,11,0.9167,1,1,1,0.0833,1,0,0.0556
L003,Adult learner 03,Consumer goods / corporate communication,48,2025-09-15,20,24,44,5.37,17,0.85,0,0,2,0.1,1,0,0.0417
L003,Adult learner 03,Consumer goods / corporate communication,49,2025-09-22,11,18,29,5,10,0.9091,0,0,0,0.0,2,0,0.1111
L003,Adult learner 03,Consumer goods / corporate communication,50,2025-09-29,11,12,23,4.55,11,1.0,0,0,0,0.0,1,0,0.0833
L003,Adult learner 03,Consumer goods / corporate communication,52,2025-10-13,33,30,63,7.12,31,0.9394,0,0,0,0.0,1,0,0.0333
L003,Adult learner 03,Consumer goods / corporate communication,53,2025-10-20,26,33,59,6.25,23,0.8846,0,0,1,0.0385,0,0,0.0
L003,Adult learner 03,Consumer goods / corporate communication,54,2025-10-27,13,20,33,5.15,13,1.0,1,1,0,0.0,0,0,0.0
L003,Adult learner 03,Consumer goods / corporate communication,55,2025-11-03,13,20,33,4.85,12,0.9231,0,0,0,0.0,0,0,0.0
L003,Adult learner 03,Consumer goods / corporate communication,56,2025-11-10,20,27,47,3.65,20,1.0,1,1,1,0.05,0,0,0.0
L003,Adult learner 03,Consumer goods / corporate communication,57,2025-11-17,18,21,39,4.56,18,1.0,1,1,0,0.0,1,0,0.0476
L003,Adult learner 03,Consumer goods / corporate communication,58,2025-11-24,10,17,27,5.8,10,1.0,1,1,1,0.1,0,0,0.0
L003,Adult learner 03,Consumer goods / corporate communication,59,2025-12-01,10,15,25,4.5,9,0.9,1,1,1,0.1,0,0,0.0
L003,Adult learner 03,Consumer goods / corporate communication,60,2025-12-08,11,12,23,6.36,11,1.0,0,0,1,0.0909,0,0,0.0
L003,Adult learner 03,Consumer goods / corporate communication,61,2025-12-15,12,18,30,5.25,12,1.0,1,1,1,0.0833,0,0,0.0
L003,Adult learner 03,Consumer goods / corporate communication,62,2025-12-22,23,28,51,5.64,19,0.8261,5,1,0,0.0,1,0,0.0357
L003,Adult learner 03,Consumer goods / corporate communication,63,2025-12-29,8,13,21,4.62,8,1.0,0,0,1,0.125,0,0,0.0
L003,Adult learner 03,Consumer goods / corporate communication,64,2026-01-05,8,13,21,5.5,8,1.0,0,0,1,0.125,1,0,0.0769
L003,Adult learner 03,Consumer goods / corporate communication,65,2026-01-12,26,19,45,5.46,24,0.9231,1,1,0,0.0,0,0,0.0
L003,Adult learner 03,Consumer goods / corporate communication,66,2026-01-19,9,13,22,8.56,9,1.0,0,0,2,0.2222,0,0,0.0
L003,Adult learner 03,Consumer goods / corporate communication,67,2026-01-26,9,12,21,5.22,9,1.0,0,0,1,0.1111,2,0,0.1667
L003,Adult learner 03,Consumer goods / corporate communication,68,2026-02-02,31,28,59,7.03,30,0.9677,2,1,1,0.0323,0,0,0.0
L003,Adult learner 03,Consumer goods / corporate communication,69,2026-02-09,8,16,24,6.88,8,1.0,1,1,1,0.125,0,0,0.0
L003,Adult learner 03,Consumer goods / corporate communication,70,2026-02-19,4,7,11,5,4,1.0,0,0,0,0.0,0,0,0.0
L003,Adult learner 03,Consumer goods / corporate communication,71,2026-02-23,9,15,24,5.33,9,1.0,1,1,0,0.0,0,0,0.0
L003,Adult learner 03,Consumer goods / corporate communication,72,2026-03-03,7,18,25,4.71,7,1.0,0,0,0,0.0,1,0,0.0556
L003,Adult learner 03,Consumer goods / corporate communication,73,2026-03-09,8,17,25,5.5,8,1.0,0,0,0,0.0,1,0,0.0588
L003,Adult learner 03,Consumer goods / corporate communication,74,2026-03-16,2,9,11,7,2,1.0,0,0,0,0.0,0,0,0.0
L003,Adult learner 03,Consumer goods / corporate communication,75,2026-03-23,6,13,19,4.33,6,1.0,0,0,0,0.0,0,0,0.0
L003,Adult learner 03,Consumer goods / corporate communication,76,2026-03-30,1,13,14,2,1,1.0,0,0,0,0.0,0,0,0.0
L003,Adult learner 03,Consumer goods / corporate communication,77,2026-04-10,0,3,3,,0,,0,0,0,,0,0,0.0
L003,Adult learner 03,Consumer goods / corporate communication,78,2026-04-14,7,6,13,4.71,7,1.0,1,1,0,0.0,0,0,0.0
L003,Adult learner 03,Consumer goods / corporate communication,79,2026-04-24,0,4,4,,0,,0,0,0,,0,0,0.0
L003,Adult learner 03,Consumer goods / corporate communication,80,2026-05-01,5,3,8,7.6,4,0.8,1,1,1,0.2,0,0,0.0
L003,Adult learner 03,Consumer goods / corporate communication,82,2026-05-15,0,4,4,,0,,0,0,0,,0,0,0.0
L003,Adult learner 03,Consumer goods / corporate communication,83,2026-05-18,6,8,14,6.33,6,1.0,1,1,0,0.0,0,0,0.0
L004,Adult learner 04,Technology / software,1,2024-02-19,11,15,26,6.55,11,1.0,1,1,5,0.4545,0,1,0.0
L004,Adult learner 04,Technology / software,2,2024-02-26,2,5,7,15.5,2,1.0,0,0,1,0.5,0,1,0.0
